"request_id","amount_safe_to_pay","affordability_status","recommended_payment_method","payment_plan","earliest_date_for_full_payment","spending_changes_needed","decision_explanation"
"request_100","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_101","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_102","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_103","35759.01","not_affordable","not_recommended","none","","none","Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
"request_104","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_105","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_106","1401.70","not_affordable","not_recommended","none","","none","Do not make this payment by 15 February 2025. None of the available options keeps the EUR 1,200 minimum protected."
"request_107","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_108","7836.40","not_affordable","not_recommended","none","","none","Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
"request_109","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_110","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_111","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_112","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_113","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_114","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_115","27135","not_affordable","not_recommended","none","","none","Do not make this payment by 15 November 2024. None of the available options keeps the INR 38,800 minimum protected."
"request_116","58075","not_affordable","not_recommended","none","","none","Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
"request_117","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_118","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_119","130901.01","not_affordable","not_recommended","none","","none","Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
"request_120","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_121","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_122","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_123","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_124","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_125","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
"request_126","0","not_affordable","not_recommended","none","","none","Do not make this payment. Insufficient data to evaluate."
