"request_id","amount_safe_to_pay","affordability_status","recommended_payment_method","payment_plan","earliest_date_for_full_payment","spending_changes_needed","decision_explanation"
"request_100","25122.04","affordable_later","wait","2024-06-15:37114","2024-06-15","none","Pay ZAR 37,114 in full on 15 June 2024. Paying earlier would take the balance below the ZAR 32,500 minimum."
"request_101","143500","affordable_now","full_payment","2025-11-03:143500","2025-11-03","none","Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
"request_102","1716","affordable_now","full_payment","2026-04-05:1716","2026-04-05","none","Pay EUR 1,716 today. This leaves at least EUR 900 available over the next 90 days."
"request_103","1861.96","not_affordable","not_recommended","none","","none","Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
"request_104","7495.20","not_affordable","not_recommended","none","","none","Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 24,700 minimum protected."
"request_105","53500","affordable_with_plan","full_payment","2026-06-08:53500","2026-06-08","reduce_to:event_9720:1632|reduce_to:event_9721:1720","reduce the household shopping to INR 1,632 and reduce the monthly entertainment spend to INR 1,720, then pay INR 53,500 today. This leaves at least INR 73,900 available."
"request_106","459.88","affordable_later","wait","2025-02-15:2207.70","2025-02-15","none","Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
"request_107","0","not_affordable","not_recommended","none","","none","Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
"request_108","499.36","not_affordable","not_recommended","none","","none","Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
"request_109","433.43","affordable_later","wait","2024-05-15:1863.40","2024-05-15","none","Pay EUR 1,863.40 in full on 15 May 2024. Paying earlier would take the balance below the EUR 1,700 minimum."
"request_110","22352","affordable_now","full_payment","2025-08-06:22352","2025-08-06","none","Pay ZAR 22,352 today. This leaves at least ZAR 11,200 available over the next 90 days."
"request_111","16625000","affordable_now","full_payment","2026-04-03:16625000","2026-04-03","none","Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
"request_112","271.70","affordable_now","full_payment","2024-06-05:271.70","2024-06-05","none","Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days."
"request_113","16733.84","affordable_with_plan","partial_payment","2026-09-04:16733.84|2026-10-15:19766.16","2026-10-15","none","Pay INR 16,733.84 today and the remaining INR 19,766.16 on 15 October 2026. This completes the full request and keeps the INR 82,300 minimum protected."
"request_114","52805.31","not_affordable","not_recommended","none","","none","Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
"request_115","14848.09","affordable_later","wait","2024-11-15:80500","2024-11-15","none","Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
"request_116","9538.60","not_affordable","not_recommended","none","","none","Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
"request_117","813.38","not_affordable","not_recommended","none","","none","Do not make this payment by 14 July 2026. None of the available options keeps the EUR 1,000 minimum protected."
"request_118","627.54","affordable_later","wait","2025-01-20:738.10","2025-01-20","none","Pay EUR 738.10 in full on 20 January 2025. Paying earlier would take the balance below the EUR 600 minimum."
